episode_id,scene_id,family,expected_sample,floor,round,ceil,peak_sample,peak_minus_expected,onset_sample,onset_minus_expected,current_error,expected_error,earliest_error,early4_error,early8_error,early16_error,direct_to_peak_amp_ratio,direct_to_peak_energy_ratio
clsdoa_v1_pilot_005_ep_000027,replica.office_2,Replica,338.25102537866326,338,338,339,330,-8.251025378663257,330,-8.251025378663257,0.2070029952012014,0.01569938481904066,0.0,0.007101597688403032,0.0,0.0,8.369166607735679e-05,7.001283996999064e-09
clsdoa_v1_pilot_005_ep_000028,replica.hotel_0,Replica,186.89956470525013,186,187,187,179,-7.899564705250128,179,-7.899564705250128,2.4600204006086295,0.007704951786532296,0.0,0.0,0.0,0.0,4.685320527642034e-05,2.1954520423861368e-09
clsdoa_v1_pilot_005_ep_000029,mp3d.17DRP5sb8fy,MP3D,227.62443300755388,227,228,228,220,-7.6244330075538755,220,-7.6244330075538755,8.258134916058555,22.359049760286013,0.010604961021893162,0.7472675004457892,3.9655332222315045,6.1426257499633286,0.04560469090938568,0.00210148305632174
clsdoa_v1_pilot_005_ep_000030,mp3d.2azQ1b91cZZ,MP3D,317.6732908569858,317,318,318,310,-7.673290856985773,310,-7.673290856985773,0.9922837969891948,0.0,0.006130688233988377,0.0,0.0,0.018007149451469473,7.751031807856634e-05,6.008766817444666e-09
clsdoa_v1_pilot_005_ep_000031,mp3d.5LpN3gDmAk7,MP3D,70.36010897110228,70,70,71,129,58.63989102889772,63,-7.360108971102278,137.74504786023067,39.71051689347899,131.0957088073798,94.70457109314698,97.61099279900334,84.79320914067597,0.8755987882614136,0.16357466578483582
clsdoa_v1_pilot_005_ep_000032,mp3d.759xd9YjKW5,MP3D,390.0210844558028,390,390,391,505,114.9789155441972,382,-8.021084455802793,71.40871361453772,42.00025751290303,120.98584509819209,24.76981874890818,39.870292248308814,21.525325580274554,1.4491376876831055,0.06661046296358109
clsdoa_v1_pilot_005_ep_000033,mp3d.8194nk5LbLH,MP3D,257.7977852915636,257,258,258,250,-7.797785291563628,250,-7.797785291563628,5.663293681020318e-06,0.018762577131134967,0.00668756401346363,0.011697325546020336,0.0,0.013847579179881298,6.325548747554421e-05,4.00104882558594e-09
clsdoa_v1_pilot_005_ep_000034,mp3d.EDJbREhghzL,MP3D,78.22361619537402,78,78,79,71,-7.223616195374021,71,-7.223616195374021,15.831307260311277,41.10309689147095,0.0,0.0,0.0,3.6642084798462564,0.02871980518102646,0.0008504744037054479
clsdoa_v1_pilot_005_ep_000035,mp3d.ARNzJeq3xxb,MP3D,252.08768986053263,252,252,253,244,-8.087689860532635,244,-8.087689860532635,3.4150945850063763e-06,0.004132621113177983,0.01130477231290146,0.007913546368992204,0.0,0.0,6.284511619014665e-05,3.950522575735249e-09
clsdoa_v1_pilot_005_ep_000036,mp3d.2n8kARJN3HM,MP3D,278.4052896497784,278,278,279,271,-7.40528964977841,271,-7.40528964977841,162.63321453601446,0.017717908819592672,0.01563964156615194,0.013068156456815572,0.0,0.0,0.00011562751024030149,1.3372357443586225e-08
clsdoa_v1_pilot_005_ep_000037,mp3d.EU6Fwq7SyZv,MP3D,128.93825742403217,128,129,129,122,-6.938257424032173,122,-6.938257424032173,3.1945284701301985e-06,0.009546348773099171,0.018640605082961312,0.018539198186646958,0.0,0.018741463291717483,4.8551733925705776e-05,2.3572637175561795e-09
